Day,HYDRO-STORAGE
1,252342.129
2,252342.129
3,252342.129
4,252342.129
5,283708.6337
6,283708.6337
7,283708.6337
8,283708.6337
9,283708.6337
10,283708.6337
11,283708.6337
12,268840.5772
13,268840.5772
14,268840.5772
15,268840.5772
16,268840.5772
17,268840.5772
18,268840.5772
19,239495.9417
20,239495.9417
21,239495.9417
22,239495.9417
23,239495.9417
24,239495.9417
25,239495.9417
26,245778.6659
27,245778.6659
28,245778.6659
29,245778.6659
30,245778.6659
31,245778.6659
32,245778.6659
33,288954.0459
34,288954.0459
35,288954.0459
36,288954.0459
37,288954.0459
38,288954.0459
39,288954.0459
40,266988.3852
41,266988.3852
42,266988.3852
43,266988.3852
44,266988.3852
45,266988.3852
46,266988.3852
47,291724.9235
48,291724.9235
49,291724.9235
50,291724.9235
51,291724.9235
52,291724.9235
53,291724.9235
54,277065.3227
55,277065.3227
56,277065.3227
57,277065.3227
58,277065.3227
59,277065.3227
60,277065.3227
61,247070.3078
62,247070.3078
63,247070.3078
64,247070.3078
65,247070.3078
66,247070.3078
67,247070.3078
68,261397.1354
69,261397.1354
70,261397.1354
71,261397.1354
72,261397.1354
73,261397.1354
74,261397.1354
75,298191.2079
76,298191.2079
77,298191.2079
78,298191.2079
79,298191.2079
80,298191.2079
81,298191.2079
82,301986.0222
83,301986.0222
84,301986.0222
85,301986.0222
86,301986.0222
87,301986.0222
88,301986.0222
89,292957.944
90,292957.944
91,292957.944
92,292957.944
93,292957.944
94,292957.944
95,292957.944
96,280972.8271
97,280972.8271
98,280972.8271
99,280972.8271
100,280972.8271
101,280972.8271
102,280972.8271
103,251686.7791
104,251686.7791
105,251686.7791
106,251686.7791
107,251686.7791
108,251686.7791
109,251686.7791
110,284891.2893
111,284891.2893
112,284891.2893
113,284891.2893
114,284891.2893
115,284891.2893
116,284891.2893
117,268017.5598
118,268017.5598
119,268017.5598
120,268017.5598
121,268017.5598
122,268017.5598
123,268017.5598
124,218306.5493
125,218306.5493
126,218306.5493
127,218306.5493
128,218306.5493
129,218306.5493
130,218306.5493
131,254765.2808
132,254765.2808
133,254765.2808
134,254765.2808
135,254765.2808
136,254765.2808
137,254765.2808
138,244283.8917
139,244283.8917
140,244283.8917
141,244283.8917
142,244283.8917
143,244283.8917
144,244283.8917
145,202362.283
146,202362.283
147,202362.283
148,202362.283
149,202362.283
150,202362.283
151,202362.283
152,201026.0086
153,201026.0086
154,201026.0086
155,201026.0086
156,201026.0086
157,201026.0086
158,201026.0086
159,209714.29
160,209714.29
161,209714.29
162,209714.29
163,209714.29
164,209714.29
165,209714.29
166,186178.7521
167,186178.7521
168,186178.7521
169,186178.7521
170,186178.7521
171,186178.7521
172,186178.7521
173,229119.8441
174,229119.8441
175,229119.8441
176,229119.8441
177,229119.8441
178,229119.8441
179,229119.8441
180,211962.8541
181,211962.8541
182,211962.8541
183,211962.8541
184,211962.8541
185,211962.8541
186,211962.8541
187,182505.9246
188,182505.9246
189,182505.9246
190,182505.9246
191,182505.9246
192,182505.9246
193,182505.9246
194,189660.4149
195,189660.4149
196,189660.4149
197,189660.4149
198,189660.4149
199,189660.4149
200,189660.4149
201,228664.8884
202,228664.8884
203,228664.8884
204,228664.8884
205,228664.8884
206,228664.8884
207,228664.8884
208,309420.0391
209,309420.0391
210,309420.0391
211,309420.0391
212,309420.0391
213,309420.0391
214,309420.0391
215,338130.6329
216,338130.6329
217,338130.6329
218,338130.6329
219,338130.6329
220,338130.6329
221,338130.6329
222,368000.6334
223,368000.6334
224,368000.6334
225,368000.6334
226,368000.6334
227,368000.6334
228,368000.6334
229,393383.3491
230,393383.3491
231,393383.3491
232,393383.3491
233,393383.3491
234,393383.3491
235,393383.3491
236,341923.9289
237,341923.9289
238,341923.9289
239,341923.9289
240,341923.9289
241,341923.9289
242,341923.9289
243,345856.856
244,345856.856
245,345856.856
246,345856.856
247,345856.856
248,345856.856
249,345856.856
250,399665.2181
251,399665.2181
252,399665.2181
253,399665.2181
254,399665.2181
255,399665.2181
256,399665.2181
257,407519.6994
258,407519.6994
259,407519.6994
260,407519.6994
261,407519.6994
262,407519.6994
263,407519.6994
264,445861.6527
265,445861.6527
266,445861.6527
267,445861.6527
268,445861.6527
269,445861.6527
270,445861.6527
271,400779.9559
272,400779.9559
273,400779.9559
274,400779.9559
275,400779.9559
276,400779.9559
277,400779.9559
278,334529.8148
279,334529.8148
280,334529.8148
281,334529.8148
282,334529.8148
283,334529.8148
284,334529.8148
285,314069.1178
286,314069.1178
287,314069.1178
288,314069.1178
289,314069.1178
290,314069.1178
291,314069.1178
292,255723.4188
293,255723.4188
294,255723.4188
295,255723.4188
296,255723.4188
297,255723.4188
298,255723.4188
299,215951.5282
300,215951.5282
301,215951.5282
302,215951.5282
303,215951.5282
304,215951.5282
305,215951.5282
306,255628.5482
307,255628.5482
308,255628.5482
309,255628.5482
310,255628.5482
311,255628.5482
312,255628.5482
313,235412.9885
314,235412.9885
315,235412.9885
316,235412.9885
317,235412.9885
318,235412.9885
319,235412.9885
320,212381.0008
321,212381.0008
322,212381.0008
323,212381.0008
324,212381.0008
325,212381.0008
326,212381.0008
327,252301.1658
328,252301.1658
329,252301.1658
330,252301.1658
331,252301.1658
332,252301.1658
333,252301.1658
334,248382.1845
335,248382.1845
336,248382.1845
337,248382.1845
338,248382.1845
339,248382.1845
340,248382.1845
341,225227.5098
342,225227.5098
343,225227.5098
344,225227.5098
345,225227.5098
346,225227.5098
347,225227.5098
348,185108.2948
349,185108.2948
350,185108.2948
351,185108.2948
352,185108.2948
353,185108.2948
354,185108.2948
355,212347.0733
356,212347.0733
357,212347.0733
358,212347.0733
359,212347.0733
360,212347.0733
361,212347.0733
362,216175.629
363,216175.629
364,216175.629
365,216175.629
366,216175.629
367,216175.629
368,216175.629
