/ BEGIN,Objects,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19
class,name ,category,description,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,CO2 - Coal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,CO2 - Diesel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,CO2 - Oil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,CO2 - Gas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/ END,Objects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/ BEGIN,Memberships,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
parent_class,child_class,collection,parent_object,child_object,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Coal,SUBCRITICAL-COAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Coal,SUBCRITICAL-LIGNITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Coal,SUPERCRITICAL-COAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Diesel,DIESEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Oil,SUBCRITICAL-OIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Gas,CCGT-GAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Gas,CCGT-LNG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Gas,CCGT-NAPTHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Gas,CT-GAS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/ END,Memberships,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/ BEGIN,Properties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
parent_class,child_class,collection,parent_object,child_object,property,band_id,value,units,date_from,date_to,pattern,escalator,condition,variable,filename,scenario,memo,period_type_id
Emission,Fuel,Fuels,CO2 - Coal,SUBCRITICAL-COAL,Production Rate,1,92.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Coal,SUBCRITICAL-LIGNITE,Production Rate,1,92.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Coal,SUPERCRITICAL-COAL,Production Rate,1,92.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Diesel,DIESEL,Production Rate,1,69.400000000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Oil,SUBCRITICAL-OIL,Production Rate,1,74.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Gas,CCGT-GAS,Production Rate,1,50.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Gas,CCGT-LNG,Production Rate,1,50.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Gas,CCGT-NAPTHA,Production Rate,1,50.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emission,Fuel,Fuels,CO2 - Gas,CT-GAS,Production Rate,1,50.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/ END,Properties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
