scenario,scenario_build,scenario_split,rank
S0W0,0 GW,0-0,1
S0W200,200 GW,0-100,2
S50W150,200 GW,25-75,3
S100W100,200 GW,50-50,4
S150W50,200 GW,75-25,5
S200W0,200 GW,100-0,6
S0W300,300 GW,0-100,7
S75W225,300 GW,25-75,8
S150W150,300 GW,50-50,9
S225W75,300 GW,75-25,10
S300W0,300 GW,100-0,11
S0W400,400 GW,0-100,12
S100W300,400 GW,25-75,13
S200W200,400 GW,50-50,14
S300W100,400 GW,75-25,15
S400W0,400 GW,100-0,16
S0W600,600 GW,0-100,17
S150W450,600 GW,25-75,18
S300W300,600 GW,50-50,19
S450W150,600 GW,75-25,20
S600W0,600 GW,100-0,21
